gen_data/time,gen_data/delta_f_rad,gen_data/omega_wheel_fl_radps,gen_data/omega_wheel_fr_radps,gen_data/omega_wheel_rl_radps,gen_data/omega_wheel_rr_radps,gen_data/gear,cor_data/time,cor_data/vel_cog_x_mps,cor_data/vel_cog_y_mps,imu_data/time,imu_data/acc_cog_x_mps2,imu_data/acc_cog_y_mps2,imu_data/acc_cog_z_mps2,imu_data/yaw_rate_radps
1.3800174,-8.0256825e-05,63.4525,63.2875,63.55,63.685,1.0,1714059900.0,19.445812,0.0533142,1714057600.0,-0.8341832,-2.0187187,9.81,-0.015806409
1.3900176,-0.00024077046,63.465,63.265,63.595,63.6775,1.0,1714059500.0,19.414534,0.016959788,1714057500.0,-0.9481466,-1.7234597,9.81,-0.020476168
1.4000177,-0.0003210273,63.4075,63.2675,63.5625,63.6675,1.0,1714059500.0,19.457779,0.020654297,1714057500.0,-0.97260725,-1.4922798,9.81,-0.021379303
1.4100178,-0.00048154092,63.4025,63.255,63.61,63.69,1.0,1714060300.0,19.445858,0.04045128,1714058100.0,-0.98740506,-1.3365921,9.81,-0.01897539
1.420018,-0.0007223114,63.4125,63.245,63.59,63.695,1.0,1714060300.0,19.444317,0.031807724,1714058600.0,-0.94114786,-0.9524991,9.81,-0.018357342
1.4300181,-0.0009630819,63.427498,63.2525,63.5925,63.655,1.0,1714059900.0,19.463318,0.022838868,1714057600.0,-0.69956136,-0.6178439,9.81,-0.016809296
1.4400182,-0.0011235955,63.4375,63.2675,63.5925,63.6275,1.0,1714060300.0,19.47517,0.005436897,1714058200.0,-0.43668735,-0.6606856,9.81,-0.016821917
1.4500183,-0.0012038524,63.39,63.28,63.6,63.6075,1.0,1714059900.0,19.506687,-0.019983409,1714058000.0,-0.31692544,-0.916216,9.81,-0.016424503
1.4600185,-0.0012841092,63.425,63.2825,63.5775,63.587498,1.0,1714060000.0,19.51359,-0.02150088,1714058000.0,-0.34683207,-1.0397856,9.81,-0.010537346
1.4700186,-0.001364366,63.435,63.275,63.515,63.53,1.0,1714059900.0,19.506197,-0.041847117,1714058100.0,-0.43822274,-0.97677934,9.81,-0.0086446265
